[INFO]Started
[INFO]Call: main.py--modetrain--instance_blueprintPA_0--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set900--nb_train_batches900--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--devicecpu--training_pathdata/050/vrppd-instances-1.0/train/pa-0--run_namePA_0_TRAIN
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: PA_0
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 900
[INFO]nb_runs: 1
[INFO]nb_train_batches: 900
[INFO]output_path: /Users/cstenico/Documents/shire/banana/NLNS/runs/run_PA_0_TRAIN_2023-11-27 20:28:10.413414
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: PA_0_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: data/050/vrppd-instances-1.0/train/pa-0
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 42/900, repair costs (reward): 5000660.119, loss: -11173953145.904762, critic_loss: 25323858883535.238281
[INFO]Batch 43/900, repair costs (reward): 4996705.395, loss: -11160127583.255814, critic_loss: 25279953011450.046875
[INFO]Batch 44/900, repair costs (reward): 4999194.886, loss: -11168489728.000000, critic_loss: 25304199903790.546875
[INFO]Batch 45/900, repair costs (reward): 5003441.667, loss: -11190264923.022223, critic_loss: 25349571052248.179688
[INFO]Batch 46/900, repair costs (reward): 5008899.576, loss: -11209110127.304348, critic_loss: 25403884352022.261719
[INFO]Batch 47/900, repair costs (reward): 5012483.415, loss: -11216505507.404255, critic_loss: 25434527311392.679688
[INFO]Batch 48/900, repair costs (reward): 5011426.240, loss: -11214927637.333334, critic_loss: 25421649149952.000000
[INFO]Batch 49/900, repair costs (reward): 5010530.602, loss: -11208996466.938776, critic_loss: 25413089476942.367188
[INFO]Batch 50/900, repair costs (reward): 5003741.050, loss: -11173938647.040001, critic_loss: 25340686672855.039062
[INFO]Batch 51/900, repair costs (reward): 5002578.618, loss: -11175131216.313726, critic_loss: 25328263020222.746094
[INFO]Batch 52/900, repair costs (reward): 5000898.067, loss: -11167570963.692308, critic_loss: 25309074645622.152344
[INFO]Batch 53/900, repair costs (reward): 5001880.698, loss: -11172098415.094339, critic_loss: 25317583415257.359375
[INFO]Batch 54/900, repair costs (reward): 5003804.444, loss: -11186442164.148148, critic_loss: 25340386815848.296875
[INFO]Batch 55/900, repair costs (reward): 5006695.727, loss: -11198141179.345455, critic_loss: 25367060185683.781250
[INFO]Batch 56/900, repair costs (reward): 5009646.036, loss: -11204363794.285715, critic_loss: 25391262147730.285156
[INFO]Batch 57/900, repair costs (reward): 5008840.053, loss: -11202963491.929825, critic_loss: 25382394569135.156250
[INFO]Batch 58/900, repair costs (reward): 5008091.836, loss: -11197255838.896551, critic_loss: 25372023830881.101562
[INFO]Batch 59/900, repair costs (reward): 5002290.492, loss: -11167588508.203390, critic_loss: 25311453042930.984375
[INFO]Batch 60/900, repair costs (reward): 5002009.075, loss: -11169932407.466667, critic_loss: 25306925594487.464844
[INFO]Batch 61/900, repair costs (reward): 4999264.508, loss: -11160156193.573771, critic_loss: 25276537914149.769531
[INFO]Batch 62/900, repair costs (reward): 5001907.823, loss: -11168378698.322580, critic_loss: 25302541972909.417969
[INFO]Batch 63/900, repair costs (reward): 5003595.524, loss: -11179885844.317461, critic_loss: 25319365485714.285156
[INFO]Batch 64/900, repair costs (reward): 5007925.992, loss: -11194181600.000000, critic_loss: 25361086185472.000000
[INFO]Batch 65/900, repair costs (reward): 5009915.815, loss: -11198242516.676924, critic_loss: 25376316953017.109375
[INFO]Batch 66/900, repair costs (reward): 5009029.106, loss: -11196810860.606060, critic_loss: 25364183185470.062500
[INFO]Batch 67/900, repair costs (reward): 5007864.030, loss: -11191146572.417910, critic_loss: 25351833932815.285156
[INFO]Batch 68/900, repair costs (reward): 5003478.993, loss: -11166843843.764706, critic_loss: 25304499070373.648438
[INFO]Batch 69/900, repair costs (reward): 5003151.239, loss: -11169035160.115942, critic_loss: 25301011979931.824219
[INFO]Batch 70/900, repair costs (reward): 5001592.536, loss: -11162329102.628571, critic_loss: 25281966884220.343750
[INFO]Batch 71/900, repair costs (reward): 5003834.401, loss: -11169394428.394365, critic_loss: 25304920530597.859375
[INFO]Batch 72/900, repair costs (reward): 5006267.965, loss: -11181861888.000000, critic_loss: 25329641979904.000000
[INFO]Batch 73/900, repair costs (reward): 5009275.034, loss: -11192775245.150684, critic_loss: 25358285786855.453125
[INFO]Batch 74/900, repair costs (reward): 5011299.628, loss: -11196391396.324324, critic_loss: 25372723433361.296875
[INFO]Batch 75/900, repair costs (reward): 5011447.320, loss: -11196717875.200001, critic_loss: 25370857601761.281250
[INFO]Batch 76/900, repair costs (reward): 5011161.632, loss: -11193283866.947369, critic_loss: 25367051391191.578125
[INFO]Batch 77/900, repair costs (reward): 5006509.591, loss: -11169965548.051949, critic_loss: 25317720828302.960938
[INFO]Batch 78/900, repair costs (reward): 5006758.667, loss: -11173230802.051283, critic_loss: 25320779603757.949219
