[INFO]Started
[INFO]Call: main.py--modetrain--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set1800--nb_train_batches1800--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--training_path/content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa--run_name050_PA_TRAIN--load_partial_instanceTrue--devicecpu
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: ALTR_20
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]load_partial_instance: True
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 1800
[INFO]nb_runs: 1
[INFO]nb_train_batches: 1800
[INFO]output_path: /content/NLNS/runs/run_050_PA_TRAIN_2023-11-28 11:37:11.918180
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: 050_PA_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: /content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 43/1800, repair costs (reward): 507390.852, loss: -65875436.093023, critic_loss: 268435817591.069763
[INFO]Batch 44/1800, repair costs (reward): 507328.973, loss: -65774256.454545, critic_loss: 268319123642.181824
[INFO]Batch 45/1800, repair costs (reward): 506227.558, loss: -65481796.977778, critic_loss: 267115858784.711121
[INFO]Batch 46/1800, repair costs (reward): 506323.841, loss: -65489165.043478, critic_loss: 267049352503.652161
[INFO]Batch 47/1800, repair costs (reward): 504676.974, loss: -65189076.765957, critic_loss: 265433506314.893616
[INFO]Batch 48/1800, repair costs (reward): 507179.476, loss: -65887504.666667, critic_loss: 268140772010.666656
[INFO]Batch 49/1800, repair costs (reward): 506592.601, loss: -65706577.877551, critic_loss: 267366827321.469391
[INFO]Batch 50/1800, repair costs (reward): 504732.986, loss: -65239582.160000, critic_loss: 265498566983.679993
[INFO]Batch 51/1800, repair costs (reward): 502219.463, loss: -64726145.803922, critic_loss: 263153791216.941162
[INFO]Batch 52/1800, repair costs (reward): 501707.074, loss: -64519902.307692, critic_loss: 262517156627.692322
[INFO]Batch 53/1800, repair costs (reward): 500873.665, loss: -64213091.547170, critic_loss: 261589426639.698120
[INFO]Batch 54/1800, repair costs (reward): 500743.758, loss: -64037476.222222, critic_loss: 261315258747.259247
[INFO]Batch 55/1800, repair costs (reward): 500409.904, loss: -63849770.981818, critic_loss: 260938172751.127258
[INFO]Batch 56/1800, repair costs (reward): 499548.789, loss: -63567895.785714, critic_loss: 260047591716.571442
[INFO]Batch 57/1800, repair costs (reward): 498953.792, loss: -63374773.684211, critic_loss: 259433077777.964905
[INFO]Batch 58/1800, repair costs (reward): 499654.386, loss: -63620062.413793, critic_loss: 260103767428.413788
[INFO]Batch 59/1800, repair costs (reward): 499871.383, loss: -63612006.576271, critic_loss: 260280670450.983063
[INFO]Batch 60/1800, repair costs (reward): 500563.921, loss: -63857457.800000, critic_loss: 260853088256.000000
[INFO]Batch 61/1800, repair costs (reward): 499893.757, loss: -63640278.950820, critic_loss: 260156066429.901642
[INFO]Batch 62/1800, repair costs (reward): 501449.420, loss: -63912598.967742, critic_loss: 261763681379.096771
[INFO]Batch 63/1800, repair costs (reward): 500429.931, loss: -63629383.365079, critic_loss: 260678407769.396820
[INFO]Batch 64/1800, repair costs (reward): 498748.507, loss: -63311763.312500, critic_loss: 259108742400.000000
[INFO]Batch 65/1800, repair costs (reward): 499549.424, loss: -63659573.107692, critic_loss: 259861946494.030762
[INFO]Batch 66/1800, repair costs (reward): 500966.333, loss: -64077909.151515, critic_loss: 261281045038.545441
[INFO]Batch 67/1800, repair costs (reward): 503046.207, loss: -64481674.447761, critic_loss: 263666266539.940308
[INFO]Batch 68/1800, repair costs (reward): 501441.644, loss: -64127075.647059, critic_loss: 262225428480.000000
[INFO]Batch 69/1800, repair costs (reward): 500959.760, loss: -63888602.492754, critic_loss: 261652519891.478271
[INFO]Batch 70/1800, repair costs (reward): 501193.039, loss: -63887854.228571, critic_loss: 261839370649.600006
[INFO]Batch 71/1800, repair costs (reward): 500752.403, loss: -63721324.507042, critic_loss: 261408642466.253510
[INFO]Batch 72/1800, repair costs (reward): 501158.130, loss: -64020163.888889, critic_loss: 261756606008.888885
[INFO]Batch 73/1800, repair costs (reward): 500586.127, loss: -63879197.698630, critic_loss: 261104116273.095886
[INFO]Batch 74/1800, repair costs (reward): 501125.618, loss: -63981976.432432, critic_loss: 261533046617.945953
[INFO]Batch 75/1800, repair costs (reward): 500644.325, loss: -63784363.413333, critic_loss: 261005514724.693329
[INFO]Batch 76/1800, repair costs (reward): 500618.065, loss: -63772679.894737, critic_loss: 260839498590.315796
[INFO]Batch 77/1800, repair costs (reward): 499191.967, loss: -63478779.064935, critic_loss: 259473267140.155853
[INFO]Batch 78/1800, repair costs (reward): 499933.508, loss: -63661593.179487, critic_loss: 260258239829.333344
[INFO]Batch 79/1800, repair costs (reward): 498244.470, loss: -63305763.544304, critic_loss: 258695050615.898743
[INFO]Batch 80/1800, repair costs (reward): 497882.082, loss: -63198938.600000, critic_loss: 258243078553.600006
[INFO]Batch 81/1800, repair costs (reward): 498749.240, loss: -63454930.962963, critic_loss: 259221793450.666656
[INFO]Batch 82/1800, repair costs (reward): 499216.530, loss: -63472459.951220, critic_loss: 259601130870.634155
[INFO]Batch 83/1800, repair costs (reward): 500403.802, loss: -63582475.228916, critic_loss: 260840815455.614471
