[INFO]Started
[INFO]Call: main.py--modetrain--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set2500--nb_train_batches2800--batch_size25--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--training_path/content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa-0--run_name050_PA_0_TRAIN--load_partial_instanceTrue--devicecpu
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 25
[INFO]calculate_real_distance: False
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: ALTR_20
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]load_partial_instance: True
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 2500
[INFO]nb_runs: 1
[INFO]nb_train_batches: 2800
[INFO]output_path: /content/NLNS/runs/run_050_PA_0_TRAIN_2023-11-29 06:03:41.839429
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: 050_PA_0_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: /content/drive/MyDrive/MBA/data/050/vrppd-instances-1.0/train/pa-0
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 1/2800, repair costs (reward): 1112252.000, loss: -407599968.000000, critic_loss: 1251872997376.000000
[INFO]Batch 2/2800, repair costs (reward): 1130336.750, loss: -411284752.000000, critic_loss: 1304266801152.000000
[INFO]Batch 3/2800, repair costs (reward): 1164073.792, loss: -423052896.000000, critic_loss: 1380882404693.333252
[INFO]Batch 4/2800, repair costs (reward): 1139848.250, loss: -414799592.000000, critic_loss: 1323705499648.000000
[INFO]Batch 5/2800, repair costs (reward): 1135908.050, loss: -413219609.600000, critic_loss: 1312258680422.399902
[INFO]Batch 6/2800, repair costs (reward): 1165273.896, loss: -423601562.666667, critic_loss: 1383723914581.333252
[INFO]Batch 7/2800, repair costs (reward): 1168849.696, loss: -424853540.571429, critic_loss: 1390968551131.428467
[INFO]Batch 8/2800, repair costs (reward): 1170570.172, loss: -425625308.000000, critic_loss: 1394301042688.000000
[INFO]Batch 9/2800, repair costs (reward): 1171605.153, loss: -426200195.555556, critic_loss: 1395651058801.777832
[INFO]Batch 10/2800, repair costs (reward): 1178898.113, loss: -428761158.400000, critic_loss: 1412752133324.800049
[INFO]Batch 11/2800, repair costs (reward): 1181681.455, loss: -429996814.545455, critic_loss: 1418350189847.272705
[INFO]Batch 12/2800, repair costs (reward): 1188131.135, loss: -432449728.000000, critic_loss: 1434132731221.333252
[INFO]Batch 13/2800, repair costs (reward): 1191024.317, loss: -433469698.461538, critic_loss: 1441270192285.538574
[INFO]Batch 14/2800, repair costs (reward): 1185117.464, loss: -431358189.714286, critic_loss: 1427087753216.000000
[INFO]Batch 15/2800, repair costs (reward): 1189122.075, loss: -432671985.066667, critic_loss: 1437165403067.733398
[INFO]Batch 16/2800, repair costs (reward): 1192596.992, loss: -433723654.000000, critic_loss: 1444983119872.000000
[INFO]Batch 17/2800, repair costs (reward): 1197796.904, loss: -435546550.588235, critic_loss: 1456731154793.411865
[INFO]Batch 18/2800, repair costs (reward): 1197176.715, loss: -435346666.666667, critic_loss: 1455390756408.888916
[INFO]Batch 19/2800, repair costs (reward): 1197475.349, loss: -435297402.947368, critic_loss: 1455643854524.631592
