[INFO]Started
[INFO]Call: main.py--modetrain--lns_destructionT--lns_destruction_p0.2--nb_batches_training_set1800--nb_train_batches1800--batch_size10--lns_timelimit300--lns_batch_size5--test_size10--valid_size10--devicecpu--training_pathdata/050/vrppd-instances-1.0/train/pa--run_name050_PA_TRAIN--load_partial_instanceTrue
[INFO]Version: 0.3.0
[INFO]PARAMETERS:
[INFO]actor_lr: 0.0001
[INFO]batch_size: 10
[INFO]create_training_dataset: False
[INFO]critic_hidden_size: 128
[INFO]critic_lr: 0.0005
[INFO]device: cpu
[INFO]instance_blueprint: ALTR_20
[INFO]instance_path: None
[INFO]lns_Z_param: 0.8
[INFO]lns_adaptive_search: False
[INFO]lns_batch_size: 5
[INFO]lns_destruction: T
[INFO]lns_destruction_p: 0.2
[INFO]lns_max_iterations: 50000
[INFO]lns_nb_cpus: 1
[INFO]lns_reheating_nb: 5
[INFO]lns_t_max: 1000
[INFO]lns_t_min: 10
[INFO]lns_timelimit: 300
[INFO]lns_timelimit_validation: 300.0
[INFO]load_partial_instance: True
[INFO]max_grad_norm: 2.0
[INFO]mode: train
[INFO]model_path: None
[INFO]nb_batches_training_set: 1800
[INFO]nb_runs: 1
[INFO]nb_train_batches: 1800
[INFO]output_path: /Users/cstenico/Documents/shire/banana/NLNS/runs/run_050_PA_TRAIN_2023-11-28 00:15:58.518836
[INFO]pointer_hidden_size: 128
[INFO]round_distances: False
[INFO]run_name: 050_PA_TRAIN
[INFO]split_delivery: False
[INFO]test_size: 10
[INFO]training_path: data/050/vrppd-instances-1.0/train/pa
[INFO]valid_size: 10
[INFO]validation_seed: 0
[INFO]----------
[INFO]Generating training data...
[INFO]Loading training data...
[INFO]Loading validation data...
[INFO]Data loaded...
[INFO]Starting training...
[INFO]Batch 43/1800, repair costs (reward): 513169.164, loss: -66426719.255814, critic_loss: 275573891262.511658
[INFO]Batch 44/1800, repair costs (reward): 511865.609, loss: -66187294.090909, critic_loss: 274112350394.181824
[INFO]Batch 45/1800, repair costs (reward): 511990.762, loss: -66019941.777778, critic_loss: 274121281080.888885
[INFO]Batch 46/1800, repair costs (reward): 510779.849, loss: -65863774.869565, critic_loss: 272814190413.913055
[INFO]Batch 47/1800, repair costs (reward): 510538.807, loss: -65747863.404255, critic_loss: 272386317115.914886
[INFO]Batch 48/1800, repair costs (reward): 514569.168, loss: -66680307.250000, critic_loss: 277371175936.000000
[INFO]Batch 49/1800, repair costs (reward): 514313.865, loss: -66552620.163265, critic_loss: 276942878427.428589
[INFO]Batch 50/1800, repair costs (reward): 513546.672, loss: -66195450.640000, critic_loss: 275964988293.119995
[INFO]Batch 51/1800, repair costs (reward): 510767.162, loss: -65656835.372549, critic_loss: 273372317896.784302
[INFO]Batch 52/1800, repair costs (reward): 511338.200, loss: -65574374.153846, critic_loss: 273945569437.538452
[INFO]Batch 53/1800, repair costs (reward): 511748.896, loss: -65401507.849057, critic_loss: 274222669669.433960
[INFO]Batch 54/1800, repair costs (reward): 510621.536, loss: -65114419.925926, critic_loss: 272927563776.000000
[INFO]Batch 55/1800, repair costs (reward): 509869.377, loss: -64883401.163636, critic_loss: 272014059110.399994
[INFO]Batch 56/1800, repair costs (reward): 508889.454, loss: -64596622.428571, critic_loss: 270906624877.714294
[INFO]Batch 57/1800, repair costs (reward): 508694.353, loss: -64461361.403509, critic_loss: 270694454325.894745
[INFO]Batch 58/1800, repair costs (reward): 509161.498, loss: -64677839.586207, critic_loss: 271392312637.793091
[INFO]Batch 59/1800, repair costs (reward): 509298.450, loss: -64656017.898305, critic_loss: 271459398117.966095
[INFO]Batch 60/1800, repair costs (reward): 509994.093, loss: -64915046.666667, critic_loss: 272030152021.333344
[INFO]Batch 61/1800, repair costs (reward): 508970.532, loss: -64659942.950820, critic_loss: 270955818806.557373
[INFO]Batch 62/1800, repair costs (reward): 509452.695, loss: -64801870.709677, critic_loss: 271417530301.935486
[INFO]Batch 63/1800, repair costs (reward): 508628.060, loss: -64546114.285714, critic_loss: 270505978278.603180
[INFO]Batch 64/1800, repair costs (reward): 507637.341, loss: -64305284.062500, critic_loss: 269376814592.000000
[INFO]Batch 65/1800, repair costs (reward): 507744.218, loss: -64554142.707692, critic_loss: 269322484247.630768
[INFO]Batch 66/1800, repair costs (reward): 509606.765, loss: -65032261.030303, critic_loss: 271377613792.969696
[INFO]Batch 67/1800, repair costs (reward): 510235.205, loss: -65221847.462687, critic_loss: 271918010673.671631
[INFO]Batch 68/1800, repair costs (reward): 508501.094, loss: -64860229.941176, critic_loss: 270248207781.647064
[INFO]Batch 69/1800, repair costs (reward): 507708.916, loss: -64601281.101449, critic_loss: 269405729539.710144
[INFO]Batch 70/1800, repair costs (reward): 506398.832, loss: -64427359.828571, critic_loss: 268077189412.571442
[INFO]Batch 71/1800, repair costs (reward): 505530.115, loss: -64210974.873239, critic_loss: 267163425316.056335
[INFO]Batch 72/1800, repair costs (reward): 506204.022, loss: -64543745.000000, critic_loss: 267864120433.777771
[INFO]Batch 73/1800, repair costs (reward): 505673.437, loss: -64406498.410959, critic_loss: 267257792483.945190
[INFO]Batch 74/1800, repair costs (reward): 505656.308, loss: -64433182.648649, critic_loss: 267118746098.162170
[INFO]Batch 75/1800, repair costs (reward): 504862.218, loss: -64194130.826667, critic_loss: 266246354152.106659
[INFO]Batch 76/1800, repair costs (reward): 504409.752, loss: -64132665.631579, critic_loss: 265769405170.526306
[INFO]Batch 77/1800, repair costs (reward): 503392.619, loss: -63885922.025974, critic_loss: 264751320609.246765
[INFO]Batch 78/1800, repair costs (reward): 504079.766, loss: -64082001.384615, critic_loss: 265348903437.128204
[INFO]Batch 79/1800, repair costs (reward): 502818.798, loss: -63755270.936709, critic_loss: 264157999674.329102
[INFO]Batch 80/1800, repair costs (reward): 502342.125, loss: -63634496.050000, critic_loss: 263612285337.600006
[INFO]Batch 81/1800, repair costs (reward): 503292.604, loss: -63879498.518519, critic_loss: 264602590321.777771
[INFO]Batch 82/1800, repair costs (reward): 502913.621, loss: -63800202.487805, critic_loss: 264178706781.658539
[INFO]Batch 83/1800, repair costs (reward): 503488.023, loss: -63840878.409639, critic_loss: 264711607505.734955
[INFO]Batch 84/1800, repair costs (reward): 504347.866, loss: -63959062.333333, critic_loss: 265673227312.761902
[INFO]Batch 85/1800, repair costs (reward): 504936.058, loss: -64116537.929412, critic_loss: 266238927715.388245
[INFO]Batch 86/1800, repair costs (reward): 504202.878, loss: -63934265.860465, critic_loss: 265506052810.418610
[INFO]Batch 87/1800, repair costs (reward): 503624.671, loss: -63770699.126437, critic_loss: 264873465173.333344
[INFO]Batch 88/1800, repair costs (reward): 502474.825, loss: -63514480.045455, critic_loss: 263731970792.727264
[INFO]Batch 89/1800, repair costs (reward): 502923.638, loss: -63825052.988764, critic_loss: 264121683553.797760
[INFO]Batch 90/1800, repair costs (reward): 557769.753, loss: -250826770.711111, critic_loss: 586604287681.422241
[INFO]Batch 91/1800, repair costs (reward): 612792.778, loss: -449351450.945055, critic_loss: 916738491988.395630
[INFO]Batch 92/1800, repair costs (reward): 674351.971, loss: -699450586.652174, critic_loss: 1330961641293.913086
[INFO]Batch 93/1800, repair costs (reward): 736567.036, loss: -957485426.451613, critic_loss: 1760875817642.666748
[INFO]Batch 94/1800, repair costs (reward): 793035.370, loss: -1172404830.170213, critic_loss: 2127204521417.531982
[INFO]Batch 95/1800, repair costs (reward): 843771.561, loss: -1349859410.400000, critic_loss: 2432904841754.947266
[INFO]Batch 96/1800, repair costs (reward): 907039.493, loss: -1637997713.541667, critic_loss: 2900569531733.333496
[INFO]Batch 97/1800, repair costs (reward): 966503.745, loss: -1891102399.546392, critic_loss: 3324855134102.433105
[INFO]Batch 98/1800, repair costs (reward): 1020867.779, loss: -2110856271.877551, critic_loss: 3690523962472.489746
[INFO]Batch 99/1800, repair costs (reward): 1077366.725, loss: -2349285765.373737, critic_loss: 4090104989137.454590
[INFO]Batch 100/1800, repair costs (reward): 1120931.743, loss: -2495499803.080000, critic_loss: 4340925164421.120117
[INFO]Batch 101/1800, repair costs (reward): 1175351.597, loss: -2732080306.891089, critic_loss: 4726316619309.624023
[INFO]Batch 102/1800, repair costs (reward): 1227541.180, loss: -2953928871.098039, critic_loss: 5088955251129.725586
[INFO]Batch 103/1800, repair costs (reward): 1272760.678, loss: -3124210127.728155, critic_loss: 5371443112671.689453
[INFO]Batch 104/1800, repair costs (reward): 1315737.320, loss: -3279841502.961538, critic_loss: 5632910505511.384766
